2022-11-03,1.65.0
2022-12-15,1.66.0
2023-01-26,1.67.0
2023-03-09,1.68.0
2023-04-20,1.69.0
2023-06-01,1.70.0
2023-07-13,1.71.0
2023-08-24,1.72.0
2023-10-05,1.73.0
2023-11-16,1.74.0
2023-12-28,1.75.0
2024-02-08,1.76.0
2024-03-21,1.77.0
2024-05-02,1.78.0
2024-06-13,1.79.0
2024-07-25,1.80.0
2024-09-05,1.81.0
2024-10-17,1.82.0
2024-11-28,1.83.0
2025-01-09,1.84.0
2025-02-20,1.85.0
2025-04-03,1.86.0
2025-05-15,1.87.0
2025-06-26,1.88.0
2025-08-08,1.89.0
2025-09-18,1.90.0
2025-10-30,1.91.0
2025-12-11,1.92.0
2026-01-22,1.93.0
2026-03-05,1.94.0
2026-04-16,1.95.0
2026-05-28,1.96.0
